pdb_id,entity_id,sequence_identity,evalue,score,Resolution,Pubmed_id,Polymer,Assembly,Method,pH,Temp,pdbx_details,pdbx_pH_range,Non_polymers
5IJH,1,100.0,2.758e-122,0.3619,2.43,27080106,uni_pol,monomeric(*),"'VAPOR DIFFUSION, HANGING DROP'",8.5,298.0,"'1.4M AmSO4, 0.1M Tris, 16% glycerol'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/5IJH'}
8TYU,1,83.5,4.848e-93,0.3197,1.40,38833370,uni_pol,monomeric(*),"'VAPOR DIFFUSION, HANGING DROP'",6.0,298.0,"'6% PEG 3350, 30% Ethylene Glycol, 0.1 M  Sodium Citrate, 0.1 M MgCl2, pH 6.0.'",,
8TYV,1,83.5,4.848e-93,0.3197,1.85,38833370,uni_pol,monomeric(*),"'VAPOR DIFFUSION, HANGING DROP'",6.0,298.0,"'2mM IP8 soaked into crystals grown under 6% PEG 3350, 30% Ethylene Glycol, 0.1 M  Sodium Citrate, 0.1 M MgCl2, pH 6.0 for 3 Days'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/8TYV'}
