PDB_ID,score,Resolution,pubmed_id,Assembly,method,pH,temp,pdbx_details,pdbx_pH_range,ligands,COMPOUNDS (con_unit=mM)
1VGL,0.8987730061349692,2.6,16227211,tetrameric(*),"'VAPOR DIFFUSION, HANGING DROP'",4.5,293.0,"'PEG 3350, DMSO, acetate, pH 4.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",,HG,"['PEG 3350', None, 'DMSO', None, 'sodium acetate', None]"
4KSO,0.9997199165022166,2.622,23796516,tetrameric,'VAPOR DIFFUSION',5.7,292.0,";KaiB were grown from droplets containing 6.5 mg/mL KaiB-KaiC complex, 20 mM Tris (pH 7.8), 100 mM NaCl, 5 mM MgCl2,1 mM ATP and 2 mM BME. The reservoir solution was 100 mM sodium acetate, 500 mM sodium formate and 5% glycerol (v/v), VAPOR DIFFUSION, temperature 292K
;",,,"['sodium acetate', '100.0', 'sodium formate', '500.0', 'glycerol', '5% v/v']"
1R5P,0.911042944785276,2.2,15071498,dimeric(*),"'VAPOR DIFFUSION, HANGING DROP'",7.0,298.0,"'PEG 400, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298.0K'",,,"['PEG 400', None]"
2QKE,0.9046278919623394,2.7,18497745,tetrameric(*),"'VAPOR DIFFUSION, HANGING DROP'",5.0,293.0,"'10% PEG 3350, 10% DMSO, 0.1M ACETATE BUFFER, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",,,"['PEG 3350', '10%', 'DMSO', '10%', 'sodium acetate', '100.0']"
5JWQ,0.8770205299991491,3.871,28302851,dodecameric,"'VAPOR DIFFUSION, HANGING DROP'",5.75,295.0,'0.1M Sodium citrate pH 5.75 and 22% PEG3000',,ADP,"['sodium citrate', '100.0', 'PEG 3000', '22%']"
1WWJ,0.911042944785276,1.9,15716274,tetrameric,'VAPOR DIFFUSION',6.0,298.0,"'betaine, pH 6.0, VAPOR DIFFUSION, temperature 298.0K'",,"MLT, BET, IMD","['betaine', None]"
5JWR,0.8688655037984021,2.61,28302851,tetrameric(*),"'VAPOR DIFFUSION, HANGING DROP'",7.0,295.0,"'0.15M Ammonium Sulfate, 0.1M Tris pH 7.0, 10% PEG 4000'",,PO4,"['ammonium sulfate', '150.0', 'tris', '100.0', 'PEG 4000', '10%']"
5JWO,0.8688655037984021,1.8,28302851,dimeric,"'VAPOR DIFFUSION, HANGING DROP'",,295.0,"'0.2M Potassium Acetate, 10% (w/v) PEG3350, and 2.5% glycerol'",,ADP,"['potassium acetate', '200.0', 'PEG 3350', '10% w/v', 'glycerol', '2.5%']"
4KUN,0.613216849017554,1.95,23957615,dimeric,"'VAPOR DIFFUSION, HANGING DROP'",6.5,298.0,"'0.2 M sodium acetate, 0.1 M bis-Tris pH 6.5, 35% w/v PEG 8K, 1 mM zinc acetate, VAPOR DIFFUSION, HANGING DROP, temperature 298K'",,,"['sodium acetate', '200.0', 'bis-tris', '100.0', 'PEG 8000', '35% w/v', 'zinc(II) acetate', '1.0']"
6X61,0.5,3.2,34618577,dimeric(*),"'VAPOR DIFFUSION, HANGING DROP'",10.5,295.0,"'1.26 M NaH2PO4, 0.54 M K2HPO4 (pH unadjusted), 0.1 M Glycine pH 10.5, 0.2 M Li2SO4, 22 degrees C'",,PO4,"['sodium dihydrogen phosphate', '1260.0', 'potassium hydrogen phosphate', '540.0', 'unadjusted', None, 'glycine', '100.0', 'lithium sulfate', '200.0']"
