PDB_ID,entity_id,Seq_id,evalue,Score,Resolution,Pubmed_id,Polymer,Assembly,Method,pH,Temp,pdbx_details,pdbx_pH_range,Non_polymers,compound,Ligands,pH_low,pH_high,plot_pH,err_low,err_high,has_ph,has_temp,plot_pH_numeric,pH_plot,temp_plot,PEG_con_plot,marker,row_id
6WX4,1,100.0,4.272e-221,0.8197,1.655,33067239.0,complex,dimeric,vapor diffusion sitting drop,8.5,291.0,"'0.8 M Potassium sodium tartrate tetrahydrate, 0.1 M Tris HCl pH 8.5 and 0.5% w/v Polyethylene glycol monomethyl ether 5,000'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/6WX4'},"'potassium sodium tartrate' (0.8 M), 'Tris-HCl' (0.1 M), 'ethylene glycol' (nan)",{'view_3d_url': 'https://www.rcsb.org/3d-view/6WX4'},,,8.5,0.0,0.0,True,True,8.5,8.5,291.0,,^,0
6WUU,1,100.0,4.272e-221,0.8197,2.79,33067239.0,complex,dimeric(*),vapor diffusion sitting drop,,291.0,'Ammonium Sulfate',,{'view_3d_url': 'https://www.rcsb.org/3d-view/6WUU'},'ammonium sulfate' (nan),{'view_3d_url': 'https://www.rcsb.org/3d-view/6WUU'},,,,0.0,0.0,False,True,,4.0,291.0,,^,1
8EUA,1,100.0,4.272e-221,0.8197,3.1,36977673.0,uni_pol,monomeric,vapor diffusion sitting drop,,289.0,"'PEG 3350, CaCl2, CdCl2 and CoCl3'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/8EUA'},"'PEG 3350' (nan), 'calcium chloride' (nan), 'Cadmium chloride' (nan)",{'view_3d_url': 'https://www.rcsb.org/3d-view/8EUA'},,,,0.0,0.0,False,True,,4.0,289.0,,^,2
9BRX,1,100.0,4.272e-221,0.8197,1.8,39140055.0,uni_pol,monomeric,vapor diffusion hanging drop,,291.0,"'0.2M sodium citrate, 15%-25% PEG3350'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/9BRX'},"'sodium citrate' (0.2 M), 'PEG 3350' (25%)",{'view_3d_url': 'https://www.rcsb.org/3d-view/9BRX'},,,,0.0,0.0,False,True,,4.0,291.0,25.0,s,3
9Z6C,1,100.0,9.988e-220,0.816,2.06,41557701.0,uni_pol,monomeric(*),vapor diffusion sitting drop,,290.15,'3.5 M Sodium formate',,{'view_3d_url': 'https://www.rcsb.org/3d-view/9Z6C'},'sodium formate' (3.5 M),{'view_3d_url': 'https://www.rcsb.org/3d-view/9Z6C'},,,,0.0,0.0,False,True,,4.0,290.15,,^,4
"9HHG, 9HHI",1,100.0,9.988e-220,0.816,1.95,42148530.0,uni_pol,dimeric,vapor diffusion hanging drop,8.0,293.15,"'1.45 M Ammonium Sulfate, 0.1 M Bicine pH 8, 10 % Glycerol'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/9HHG'},"'ammonium sulfate' (1.45 M), 'Bicine' (0.1 M), 'glycerol' (10%)",{'view_3d_url': 'https://www.rcsb.org/3d-view/9HHG'},,,8.0,0.0,0.0,True,True,8.0,8.0,293.15,,s,5
6XA9,1,100.0,1.876e-219,0.8151,2.9,32845033.0,complex,dimeric(*),vapor diffusion hanging drop,6.5,293.0,"'0.2 M lithium sulfate, 25% PEG3350, 0.1 M Bis-Tris chloride, pH 6.5'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/6XA9'},"'lithium sulfate' (0.2 M), 'PEG 3350' (25%), 'Bis-Tris chloride' (0.1 M)",{'view_3d_url': 'https://www.rcsb.org/3d-view/6XA9'},,,6.5,0.0,0.0,True,True,6.5,6.5,293.0,25.0,s,6
6XAA,1,100.0,1.876e-219,0.8151,2.7,32845033.0,complex,dimeric,vapor diffusion sitting drop,8.5,293.0,"'30% PEG4000, 0.2 M sodium acetate, 0.1 M Tris chloride, pH 8.5'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/6XAA'},"'PEG 4000' (30%), 'sodium acetate' (0.2 M), 'Tris-HCl' (0.1 M)",{'view_3d_url': 'https://www.rcsb.org/3d-view/6XAA'},,,8.5,0.0,0.0,True,True,8.5,8.5,293.0,30.0,^,7
9OR4,1,100.0,4.83e-219,0.8142,2.43,41557701.0,uni_pol,monomeric(*),vapor diffusion hanging drop,7.5,298.0,"'25-32% PEG 3350, 0.1-0.38M K/Na tartrate tetrahydrate, 0.1M Bis-Tris propane, pH 7.5'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/9OR4'},"'PEG 3350' (25-32%), 'bis-tris propane' (0.1 M)",{'view_3d_url': 'https://www.rcsb.org/3d-view/9OR4'},,,7.5,0.0,0.0,True,True,7.5,7.5,298.0,32.0,s,8
7CMD,1,100.0,9.988e-220,0.8138,2.59,32895623.0,uni_pol,monomeric(*),vapor diffusion hanging drop,5.6,296.0,"'0.24M ammonium acetate,0.1M sodium citrate pH5.6,24% PEG4000'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/7CMD'},"'ammonium acetate' (0.24 M), 'sodium citrate' (0.1 M), 'PEG 4000' (24%)",{'view_3d_url': 'https://www.rcsb.org/3d-view/7CMD'},,,5.6,0.0,0.0,True,True,5.6,5.6,296.0,24.0,s,9
