PDB_ID,Entity,Score,Seq_id,E-value
13MI,1,1.0,1.0,2.523e-244
13MJ,1,1.0,1.0,2.523e-244
13MK,1,1.0,1.0,2.523e-244
13ML,1,1.0,1.0,2.523e-244
13MM,1,1.0,1.0,2.523e-244
13MN,1,1.0,1.0,2.523e-244
13MO,1,1.0,1.0,2.523e-244
13MP,1,1.0,1.0,2.523e-244
13MQ,1,1.0,1.0,2.523e-244
13MR,1,1.0,1.0,2.523e-244
13MS,1,1.0,1.0,2.523e-244
13MT,1,1.0,1.0,2.523e-244
13MU,1,1.0,1.0,2.523e-244
13MV,1,1.0,1.0,2.523e-244
13MW,1,1.0,1.0,2.523e-244
13MX,1,1.0,1.0,2.523e-244
13MY,1,1.0,1.0,2.523e-244
13MZ,1,1.0,1.0,2.523e-244
13NA,1,1.0,1.0,2.523e-244
13NB,1,1.0,1.0,2.523e-244
13NC,1,1.0,1.0,2.523e-244
13ND,1,1.0,1.0,2.523e-244
13NE,1,1.0,1.0,2.523e-244
13NF,1,1.0,1.0,2.523e-244
13NG,1,1.0,1.0,2.523e-244
13NH,1,1.0,1.0,2.523e-244
13NI,1,1.0,1.0,2.523e-244
13NJ,1,1.0,1.0,2.523e-244
13NK,1,1.0,1.0,2.523e-244
13NL,1,1.0,1.0,2.523e-244
13NM,1,1.0,1.0,2.523e-244
13NN,1,1.0,1.0,2.523e-244
13NO,1,1.0,1.0,2.523e-244
13NP,1,1.0,1.0,2.523e-244
13NQ,1,1.0,1.0,2.523e-244
13NR,1,1.0,1.0,2.523e-244
13NS,1,1.0,1.0,2.523e-244
13NT,1,1.0,1.0,2.523e-244
13NU,1,1.0,1.0,2.523e-244
13NV,1,1.0,1.0,2.523e-244
13NW,1,1.0,1.0,2.523e-244
13NX,1,1.0,1.0,2.523e-244
13NY,1,1.0,1.0,2.523e-244
13NZ,1,1.0,1.0,2.523e-244
13OA,1,1.0,1.0,2.523e-244
13OB,1,1.0,1.0,2.523e-244
13OC,1,1.0,1.0,2.523e-244
13OD,1,1.0,1.0,2.523e-244
13OE,1,1.0,1.0,2.523e-244
13OF,1,1.0,1.0,2.523e-244
13OG,1,1.0,1.0,2.523e-244
13OH,1,1.0,1.0,2.523e-244
13OI,1,1.0,1.0,2.523e-244
13OJ,1,1.0,1.0,2.523e-244
13OK,1,1.0,1.0,2.523e-244
13OL,1,1.0,1.0,2.523e-244
13OM,1,1.0,1.0,2.523e-244
13ON,1,1.0,1.0,2.523e-244
13OO,1,1.0,1.0,2.523e-244
13OP,1,1.0,1.0,2.523e-244
13OQ,1,1.0,1.0,2.523e-244
13OR,1,1.0,1.0,2.523e-244
13OS,1,1.0,1.0,2.523e-244
13OT,1,1.0,1.0,2.523e-244
13OU,1,1.0,1.0,2.523e-244
13OV,1,1.0,1.0,2.523e-244
13OW,1,1.0,1.0,2.523e-244
13OX,1,1.0,1.0,2.523e-244
13OY,1,1.0,1.0,2.523e-244
13OZ,1,1.0,1.0,2.523e-244
13PA,1,1.0,1.0,2.523e-244
13PB,1,1.0,1.0,2.523e-244
13PC,1,1.0,1.0,2.523e-244
13PD,1,1.0,1.0,2.523e-244
13PE,1,1.0,1.0,2.523e-244
13PF,1,1.0,1.0,2.523e-244
13PG,1,1.0,1.0,2.523e-244
13PH,1,1.0,1.0,2.523e-244
13PI,1,1.0,1.0,2.523e-244
13PJ,1,1.0,1.0,2.523e-244
13PL,1,1.0,1.0,2.523e-244
13PM,1,1.0,1.0,2.523e-244
13PN,1,1.0,1.0,2.523e-244
13PO,1,1.0,1.0,2.523e-244
13PP,1,1.0,1.0,2.523e-244
13PQ,1,1.0,1.0,2.523e-244
13PR,1,1.0,1.0,2.523e-244
13PS,1,1.0,1.0,2.523e-244
13PT,1,1.0,1.0,2.523e-244
13PU,1,1.0,1.0,2.523e-244
13PV,1,1.0,1.0,2.523e-244
13PW,1,1.0,1.0,2.523e-244
13PX,1,1.0,1.0,2.523e-244
13PY,1,1.0,1.0,2.523e-244
13PZ,1,1.0,1.0,2.523e-244
13QA,1,1.0,1.0,2.523e-244
13QB,1,1.0,1.0,2.523e-244
